booking_id,user_id,item_id,session_date,rating
1581.0,1485,2,2025-06-22 00:00:00+00:00,1
,1418,4,,0
,2036,21,,0
591.0,486,addon::7,2024-07-30 00:00:00+00:00,1
,339,9,,0
,691,5,,0
,2239,7,,0
796.0,707,addon::7,2024-10-10 00:00:00+00:00,1
1437.0,2148,1,2025-05-05 00:00:00+00:00,1
1723.0,1625,addon::7,2025-08-16 00:00:00+00:00,1
1591.0,1500,addon::8,2025-06-26 00:00:00+00:00,1
,2227,21,,0
1291.0,1159,addon::14,2025-03-18 00:00:00+00:00,1
1791.0,1677,3,2025-09-11 00:00:00+00:00,1
1570.0,1473,2,2025-06-17 00:00:00+00:00,1
1784.0,1670,addon::8,2025-09-07 00:00:00+00:00,1
291.0,2201,addon::9,2024-05-14 00:00:00+00:00,1
,1677,8,,0
,881,4,,0
1346.0,1236,2,2025-04-09 00:00:00+00:00,1
,2185,3,,0
,849,6,,0
,1587,17,,0
231.0,18,addon::7,2024-05-02 00:00:00+00:00,1
,1530,2,,0
,1275,18,,0
,502,20,,0
96.0,267,addon::6,2024-03-27 00:00:00+00:00,1
1173.0,1058,addon::7,2025-01-27 00:00:00+00:00,1
1718.0,1621,addon::7,2025-08-15 00:00:00+00:00,1
122.0,2127,2,2024-04-04 00:00:00+00:00,1
1781.0,929,3,2025-09-07 00:00:00+00:00,1
421.0,301,3,2024-06-12 00:00:00+00:00,1
,774,17,,0
,2104,17,,0
,1129,4,,0
1920.0,1786,addon::7,2025-11-10 00:00:00+00:00,1
,2241,6,,0
,1346,1,,0
100.0,172,addon::14,2024-03-30 00:00:00+00:00,1
,2313,8,,0
221.0,7,3,2024-05-01 00:00:00+00:00,1
,1686,9,,0
105.0,2115,3,2024-03-31 00:00:00+00:00,1
494.0,373,1,2024-06-24 00:00:00+00:00,1
,1314,6,,0
,602,19,,0
,632,18,,0
1271.0,1141,addon::7,2025-03-07 00:00:00+00:00,1
1543.0,1450,2,2025-06-08 00:00:00+00:00,1
,988,5,,0
710.0,2308,addon::7,2024-09-14 00:00:00+00:00,1
1618.0,1527,3,2025-07-06 00:00:00+00:00,1
241.0,21,addon::7,2024-05-03 00:00:00+00:00,1
539.0,421,addon::8,2024-07-07 00:00:00+00:00,1
489.0,365,addon::9,2024-06-23 00:00:00+00:00,1
,791,18,,0
,2095,17,,0
,2133,9,,0
,2420,17,,0
415.0,2274,addon::8,2024-06-11 00:00:00+00:00,1
,1164,5,,0
1727.0,1627,addon::6,2025-08-16 00:00:00+00:00,1
,66,9,,0
622.0,519,3,2024-08-11 00:00:00+00:00,1
,39,7,,0
,1634,5,,0
680.0,580,addon::7,2024-08-31 00:00:00+00:00,1
,1082,4,,0
